Title,description,authors,publishedDate,categories
Shaping Seattle Architecture: A Historical Guide to the Architects,"The first edition of Shaping Seattle Architecture, published in 1994, introduced readers to Seattle’s architects by showcasing the work of those who were instrumental in creating the region’s built environment. Twenty years later, the second edition updates and expands the original with new information and illustrations that provide an even richer exploration of Seattle architecture. The book begins with a revised introduction that brings the story of Seattle architecture into the twenty-first century and situates developments in Seattle building design within local and global contexts. The book’s fifty-four essays present richly illustrated profiles that describe the architects' careers, provide an overview of their major works, and explore their significance. Shaping Seattle Architecture celebrates a wide range of people who helped form the region's built environment. It provides updated information about many of the architects and firms profiled in the first edition. Four individuals newly included in this second edition are Edwin J. Ivey, a leading residential designer; Fred Bassetti, an important contributor to Northwest regional modernism; L. Jane Hastings, one of the region’s foremost women in architecture; and Richard Haag, founder of the landscape architecture program at the University of Washington and designer of Gas Works Park and the Bloedel Reserve. The book also includes essays on the buildings of the Coast Salish people, who inhabited Puget Sound prior to Euro-American settlement; the role that architects played in speculative housing developments before and after World War II; and the vernacular architecture built by nonprofessionals that makes up a portion of the fabric of the city. Shaping Seattle Architecture concludes with a substantial reference section, updated to reflect the last twenty years of research and publications. A locations appendix offers a geographic guide to surviving works. The research section directs interested readers to further resources, and the appendix “Additional Significant Seattle Architects” provides thumbnail sketches of nearly 250 important figures not included in the main text.",['Jeffrey Karl Ochsner'],2017-05-01,['Architecture']
Charms for the Easy Life,"Margaret struggles toward adulthood in a world torn apart by the Second World War and complicated by her strong-willed mother, Sophia, and grandmother, Charlie Kate, in a story about three generations of passionate, willful Southern women",['Kaye Gibbons'],1993-03-24,['Fiction']
"Partners in Marriage (Silhouette Special Edition Ser, No. 1205)","Engeland, 1585. Op een stormachtige nacht wordt de jonge, beeldschone Elise Madselin Radborne ontvoerd door de handlangers van Maxim Seymour, markies van Bradbury en aartsvijand van Elises familie. Maxims bedienden blijken echter per ongeluk de verkeerde vrouw te hebben meegenomen. De markies weet niet wat hij met zijn gevangene aan moet. Ze zouden gezworen vijanden moeten zijn en maken voortdurend ruzie, maar onder de oppervlakte smeult een passie en aantrekkingskracht die steeds moeilijker te ontkennen valt. Dan wordt Elise opnieuw gekidnapt en dreigt Maxim haar kwijt te raken. Hij beseft dat hij hartstochtelijk verliefd is geworden op deze temperamentvolle schone met haar saffi erblauwe ogen en haren met de kleur van kersenhout en zet alles op alles om haar leven te redden...",['Kathleen Woodiwiss'],2013-06-27,['Fiction']
"Saddle and Western Gear Catalog, 1938","Excellent reprint of rare 1938 catalog contains hundreds of illustrated items advertising everything from Bickmore's Gall Cure, wool blankets, and rawhide hackamores to Ding skirts, saddle bags, and angora chaps.","['Victor M. Linoff', 'Visalia Stock Saddle Co']",1999-01-01,['Antiques & Collectibles']
Walking in Victory: Experiencing True Sanctification and Holiness through God's Grace,"The author manifests insight into the full reality of the victory we have in Christ. He uplifts the Lord Jesus Christ, pointing to Him as the Victor over self and sin.",['Charles Trumbull'],2010-01-01,['Religion']
Hiking Alaska (State Hiking Series),"Fully updated and revised, this guide is the perfect introduction to hiking the great state of Alaska, with millions of acres of wilderness waiting to be explored. It features one hundred hikes in Alaska's national parks, wildlife refuges, national forests, wilderness areas, and state parks. Also included are hikes for all ages and abilities as well as maps for each hike and full-color color photos.",['Mollie Foster'],2017-05-15,['Sports & Recreation']
The World of Musical Comedy,"Acclaimed through three editions for its uniquely informative and entertaining style, this fourth edition of Stanley Green's World of Musical Comedy updates and enlarges the theatrical scope to include such recent shows as A Chorus Line, Barnum, They're Playing Our Song, and Annie. In a format that provides biographies of all the leading figures in the musical's development, Stanley Green manages to convey the spirit of the Broadway stage, its musical make-believe, and yet remain objective about the creative swings in its history and the careers of its individual creators. Everyone is here: Victor Herbert, Sigmund Romberg, Jerome Kern, Irving Berlin, Rodgers and Hart, the Gershwins, Cole Porter, Harold Arlen, Frank Loesser, Lerner and Loewe, Stephen Sondheim, Cy Coleman, Marvin Hamlisch, and many others--not in a quick run-through but in vivid detail accompanied by pertinent interviews and photographs.This latest edition contains an expanded appendix that lists the casts, credits, songs, and recordings of every Broadway musical written by these illustrious and industrious composers and librettists. As always in a Stanley Green book, the research is exhaustive and impeccable, the presentation enjoyable, the judgments fair. From America's foremost theater historian, here is another edition of a classic theater chronicle.",['Stanley Green'],1960,['Composers']
Chimney Swift Towers: New Habitat for America's Mysterious Birds (Louise Lindsey Merrick Natural Environment Series),"Chimney Swifts, birds that nest and roost in chimneys, have been historically abundant in North America. But by the late 1980s, the number of swifts migrating to North America from the Amazon River Basin had declined. A growing number of people across North America are now constructing nesting towers and conducting Chimney Swift conservation projects in their own communities. With Chimney Swift Towers, concerned bird conservationists have a step-by-step guide to help them create more habitat for these beneficial, insect-eating birds. Chimney Swift experts Paul and Georgean Kyle give directions for building freestanding wooden towers, wooden kiosk towers, masonry towers, and other structures. Included are - design basics, - lists of materials needed, - useful diagrams and photographs, - and detailed instructions on site preparation, tower construction, installation, and maintenance. Anyone with basic woodworking or masonry skills and an interest in wildlife conservation will find this publication helpful. That includes do-it-yourselfers, homeowners involved in creating backyard habitat for wildlife, landscape and structural architects, park and wildscape managers, wildlife management area professionals, nature centers, garden centers, scout troops, and other civic organizations in search of community service projects.",['Paul D. Kyle'],2005-02-22,['Nature']
Selected Poems,"John Clare was the great Romantic 'peasant poet' - the chronicler of nature and childhood, the champion of folkways in the face of enclosure and oppression, the love poet, the political satirist and solitary visionary, confined in his maturity to lunatic asylums.","['John Clare', 'Jonathan Bate']",2003,['Country life']
A Brief Conversion and Other Stories (Karen and Michael Braziller Books),"In these vivid stories, Earl Lovelace paints a compassionate, often humorous portrait of everyday life in Trinidad. Ordinary people like Victory the barber, Shoemaker Arnold, Miss Ross (once the most sought-after woman in Cunaripo), and Blues and Joebell who are eager to see new lands, are invested with a special magic that draws the reader into a rhythmical, colorful, and changing world.",['Earl Lovelace'],1988,['Fiction']
The black arrow: A tale of the two roses (The biographical edition of the works of Robert Louis Stevenson),"The Black Arrow - Robert Louis Stevenson - The Black Arrow: A Tale of the Two Roses is a novel by Robert Louis Stevenson (1850-1894).First published in 1888, it is both an historical adventure novel and a romance. It tells the story of Richard Shelton during the Wars of the Roses (14551487): how he becomes a knight, rescues his lady Joanna Sedley, and obtains justice for the murder of his father, Sir Harry Shelton.The ebook contains the beautiful illustrations of a 1916 edition.It also has a biographical profile of Stevenson written by English poet and critic Edmund Gosse (18491928) in 1911.",['Robert Louis Stevenson'],2021-08-09,['Juvenile Nonfiction']
"Buffy contre les vampires, tome 27 : La Tueuse perdue - Livre 3 ""Le Roi des morts"" (French Edition)","Volgens Stephen King is Christopher Golden ‘de real deal’ en Tinnen soldaten werd door Scott Sigler al ‘een unieke mix van Terminator en Saving Private Ryan’ genoemd. Het is dan ook een hoogst actuele sf-blockbusterthriller over drones, terrorisme en hypermoderne oorlogsvoering. De wereld staat aan de afgrond en kan alleen gered worden door robotsoldaten die in oorlogsgebieden worden losgelaten en op duizenden kilometers afstand worden bestuurd door elitesoldaten. Danny Kelso is zo’n ‘tinnen soldaat’, die vanuit een Duitse bunker zijn machine door de verwoeste straten van Syrië leidt. Tijdens zijn shift zorgt een terroristische aanslag voor een wereldwijde stroomstoring. Voor de soldaten begint er een race tegen de klok om de strijd te winnen – maar Danny’s robot blijft actief, en zijn geest zit gevangen in deze machine...",['Christopher Golden'],2016-04-26,['Fiction']
The New American Bible For Catholics,"The hardcover edition of this landmark resource, now available in the NABRE translation, contains all the authoritative study notes, expanded essays, and informational sidebars for which it is known and trusted. The heart of this volume remains its extensive Reading Guide that leads the reader through the Scriptures, book by book. References and background information are clearly laid out in the margins of the text, guiding the reader to a fuller understanding of the Bible. Other outstanding features include: a 15-page glossary of special terms, complete Sunday and weekday lectionary readings for the liturgical years of the Church. 32 beautiful pages of full-color Oxford Bible Maps come with a place-name index for easy reference. Printed on smooth, durable paper and bound with the highest quality materials, the Catholic Study Bible is an incredible value. It is available in three attractive and affordable bindings: black bonded leather, hardcover, and paperback. The New American Bible Revised Edition: The New American Bible Revised Edition (NABRE) brings to culmination the work of nearly 100 scholars, including translators, editors, and a subcommittee of Catholic bishops who provided extensive review of the biblical text over a period of many years. The NABRE is the first major amendment to the New American Bible translation since 1991. It features: *The first update of the Old Testament since 1970, taking into account recent archaeological and textual discoveries. *Complete revision of the Psalter.",['John J. Collins'],2011,['Bibles']
Guide to Survival,"UITSLUITEND GESCHIKT VOOR IBOOKS Dit boeiende en alomvattende handboek is een onmisbare hulp om te kunnen overleven in de wildernis en in elk klimaat, op land of op zee, voor kampeerders, trekkers en zeilers en verder voor iedereen die zich bezighoudt met outdooractiviteiten.","[""John 'Lofty' Wiseman""]",2022-02-16,['Juvenile Nonfiction']
Wish Upon a Star Baby Journal,"""Provides guided pages to thoughtfully capture baby's development and milestones. Cheer-ables stickers to use as photo corners, as well as envelopes to store baby's keepsakes.""","['Elizabeth Lluch', 'Alex Lluch']",2004-12-20,['Family & Relationships']
Image-Music-Text,"The photographic message.-- Rhetoric of the image.-- The third meaning.-- Diderot, Brecht, Eisenstein.-- Introduction to the structural analysis of narratives.-- The struggle with the angel.-- The death of the author.-- Musica practica.-- From work to text -- Change the object itself -- Lesson in writing -- The grain of the voice -- Writers, intellectuals, teachers.","['Roland Barthes', 'Stephen Heath']",1978-07-01,['Literary Criticism']
Antarctica: The last unspoiled continent,"Surveys the plant and animal life, impact on global ecology, history, and politics of the White Continent.",['Laurence Pringle'],1992,['Antarctica']
Japanese Art of Reiki,"Reiki techniques originated in Japan, in an intensely spiritual period of that country's history. This fully-illustrated book traces the system's evolution from a spiritual self-development system to a direct hands-on practice. The journey moves from Japan to the USA, out to the world, and back to Japan. Focussing on the basic elements in their historical context, this guide contains beautifully grounded information that captures a unique sense of the system's traditional Japanese roots. The clarity and accessibility of the teachings in the book redefine and strengthen the concept of Reiki as it is practised today.",['Stiene'],2010-05-11,"['Body, Mind & Spirit']"
"UNESCO General History of Africa, Vol. VIII: Africa since 1935 (unabridged paperback)",Looks at the history of Africa since 1935 and Africa's relations with other continents during that time period.,['Unesco. International Scientific Committee for the Drafting of a General History of Africa'],1999,['History']
The Language of Mathematics: Making the Invisible Visible,"Taking the reader on a wondrous journey through the invisible universe that surrounds us--a universe made visible by mathematics--Devlin shows us what keeps a jumbo jet in the air, explains how we can see and hear a football game on TV, allows us to predict the weather, the behavior of the stock market, and the outcome of elections. Microwave ovens, telephone cables, children's toys, pacemakers, automobiles, and computers--all operate on mathematical principles. Far from a dry and esoteric subject, mathematics is a rich and living part of our culture.",['Keith Devlin'],2000-03-13,['Mathematics']
Gods and Kings (Chronicles of the Kings #1),"Gods and Kings is the story of King Hezekiah, heir to the throne of King David. When his evil father plots to sacrifice him, Hezekiah's mother, Abijah, searches frantically for a way to save him. But only two men can help her, and neither of them seems trustworthy. In a time and place engulfed by violence, treachery, and infidelity to Yahweh, Abijah and her son must discover the one true Source of strength if they are to save themselves and their country. Book 1 of Chronicles of the Kings.",['Lynn Austin'],2005-02-01,['Fiction']
A GUIDE TO POST KEYNESIAN ECONOMICS,"Eichner's classic A Guide to Post-Keynesian Economics (1978) is still seen as the definitive staging post for those wishing to familiarise themselves with the Post-Keynesian School. This book brings the story up-to-date. Of all the subgroups within heterodox economics, Post-Keynesianism has provided the most convincing alternative to mainstream theory. The main representatives of the Post-Keynesianism from both sides of the Atlantic are represented here, including Paul Davidson, Geoff Harcourt and Sheila Dow.","['Richard P. F. Holt', 'Steven Pressman']",2002-09-26,['Business & Economics']
Have You Started Yet?,"Explains how and why menstrual periods happen, what they are like, and what to do about them.",['Ruth Thomson'],1997,['Medical']
Mountaineering the Freedom of the Hills Third Edition,"""If there is only one 'how to' book to read for the aspirant and expert alike, it is Freedom of the Hills. In fact, it is fair to say that Freedom is the definitive guide to mountains and climbing and has influenced pretty much every climber."" -- Conrad Anker * 50th anniversary edition of the title considered ""bible"" of climbing * With nearly 1 million copies sold, this is the all-time bestselling mountaineering and climbing title * Printed on 100% recycled paper Since the publication of the first edition in 1960, Freedom, as the book is known, has endured as a classic mountaineering text. From choosing equipment to tying a climbing knot, and from basic rappelling techniques to planning an expedition -- it's all here in this essential mountaineering reference. A team of more than 40 experts -- all active climbers and climbing educators -- reviewed, revised, and updated this compendium to reflect the latest evolutions in mountaineering equipment and techniques. Major updates include a significant new chapter on conditioning, plus detailed and extensive revisions to rescue and first-response, aid climbing, and waterfall and ice climbing.",['The Mountaineers'],2010-08-25,['Sports & Recreation']
Agatha Raisin and the Love from Hell,"Love, like hell, is a four-letter word for Agatha . . . No happily ever after for her! Recently married to neighbour James Lacey, Agatha quickly finds that love is not all it's cracked up to be - soon the newly-weds are living in separate cottages and accusing each other of infidelity. Then, after a fight down the local pub, James vanishes - a bloodstain the only clue to his fate. Naturally, Agatha is Suspect Number One. Determined to clear her name - and find her husband - Agatha begins her investigation and promptly discovers a murdered mistress . . . Praise for the Agatha Raisin series: 'Sharp, witty, hugely intelligent, unfailingly entertaining, delightfully intolerant and oh so magnificently non-PC, M.C. Beaton has created a national treasure' Anne Robinson 'M.C. Beaton's imperfect heroine is an absolute gem' Publishers Weekly 'The Miss Marple-like Raisin is a refreshing, sensible, wonderfully eccentric, thoroughly likeable heroine' Booklist",['M. C. Beaton'],2016-01-07,['Cotswold Hills (England)']
The Onion Ambassador,A south Georgia farmer and his wife discover a giant onion named Yumion. His mission is to tell the world about Vidalia onions.,['Rhonda Frost Kight'],2001-03,['Audiobooks']
The Illustrated Chronicles of Matthew Paris: Observations of Thirteenth-Century Life (History/Prehistory and Medieval History),"""Vaughn's well received 1984 translation is here augmented with color reproductions of over 100 of the drawings in the manuscript. Paris's Latin chronicle, covering 1247-50, is valuable for its detail and its scope, noting and commenting on events all over Europe and the Near East as well as in London and Britain. Annotation copyright Book News, Inc. Portland, Or.""--Amazon.com viewed Sept. 30, 2020.","['Matthew Paris', 'Matthaeus (Parisiensis)']",1993,['Biography & Autobiography']
"Arts and Crafts Movement in California, The: Living the Good Life","Assesses the achievements of American artists in architecture, gardens, pottery, ceramic tiles, metalwork, furniture, stained glass, leather, needlework, and bookmaking","['Oakland Museum', 'Renwick Gallery', 'Cincinnati Art Museum']",1993,['Art']
Beyond the Reach,Levensechte personages en bloedstollende spanning: deel 6 in de Grant County-reeks met Sara Linton in de hoofdrol. Rechercheur Lena Adams heeft jarenlang geprobeerd haar gewelddadige verleden te ontvluchten. Maar bij een gedwongen terugkomst in haar geboortedorp wordt ze opnieuw geconfronteerd met een explosie van geweld: een meedogenloze moordenaar heeft een jonge vrouw onherkenbaar verbrand. Voor de plaatselijke politie is Lena de enige verdachte. Jeffrey Tolliver en Sara Linton reizen af naar het plaatsje om Lena’s onschuld te bewijzen. Dan wordt een tweede lichaam gevonden en raken Jeffrey en Sara verstrikt in een duistere wereld vol geweld en rassenhaat. Kunnen zij de waarheid achterhalen voor de moordenaar opnieuw toeslaat? ‘Een bloedstollend verhaal in haar imposante oeuvre.’ Elegance ‘Het bewijs is geleverd. Karin Slaughter behoort tot de allerbeste Amerikaanse misdaadschrijvers.’ De Morgen,['Karin Slaughter'],2021-09-07,['Fiction']
Hot Secret,"What happens in Vegas stays in Vegas… If only that were true! Surgeon Kiri Bhardwaj never expected to see sexy exotic dancer Alejandro Valentino again after their fantasy life-changing night together. But now they're face-to-face, and he's a specialist in her pediatric department! Working with Kiri proves to Alejandro that they haven't finished what they started all those years ago. But to claim what he's lost he'll have to lay his heart on the line and prove to Kiri their chemistry is for keeps!",['Amy Ruttan'],2017-01-01,['Fiction']
Daughters of Earth: Feminist Science Fiction in the Twentieth Century,The best of women’s science fiction and feminist theory together in one volume,['Justine Larbalestier'],2006-05-22,['Fiction']
The Feverbird's Claw,"Twice, on the last day of her childhood, Moralin sees death coming straight at her. The first time, in the fighting yard, she saves herself. But the second time, outside the city walls . . . Moralin is captured by the Arkera, age-old enemies of her people. They dress in rough clothes and use a language Moralin can't understand. Why have they kidnapped her? Why are they taking her with them into the heart of the red forest, where the fire-breathing skulkuk lives? And if Moralin can escape, can she survive the skulkuk and the other perils of the wilderness? Moralin is about to face death again. She is also about to uncover secrets—secrets about the Arkera, her own people, and herself.",['Jane Kurtz'],2012-10-23,['Juvenile Fiction']
Object-Oriented Design with UML and Java,"Object-Oriented Design with UML and Java provides an integrated introduction to object-oriented design with the Unified Modelling Language (UML) and the Java programming language. The book demonstrates how Java applications, no matter how small, can benefit from some design during their construction. Fully road-tested by students on the authors' own courses, the book shows how these complementary technologies can be used effectively to create quality software. It requires no prior knowledge of object orientation, though readers must have some experience of Java or other high level programming language. This book covers object technology; object-oriented analysis and design; and implementation of objects with Java. It includes two case studies dealing with library applications. The UML has been incorporated into a graphical design tool called ROME, which can be downloaded from the book's website. This object modelling environment allows readers to prepare and edit various UML diagrams. ROME can be used alongside a Java compiler to generate Java code from a UML class diagram then compile and run the resulting application for hands-on learning. This text would be a valuable resource for undergraduate students taking courses on O-O analysis and design, O-O modelling, Java programming, and modelling with UML. * Integrates design and implementation, using Java and UML * Includes case studies and exercises * Bridges the gap between programming texts and high level analysis books on design","['Kenneth Barclay', 'John Savage']",2003-12-17,['Computers']
So Often the Pitcher Goes to Water Until It Breaks: POEMS (National Poetry Series),"An astonishing new talent, Rigoberto González writes with a clarity of the senses that pulls the reader into a marvelous and unfamiliar world. The sidewalk preacher, the umbrella salesman, the nurse on the graveyard shift, the professional mourner-- all allow González a clandestine glimpse of their lives. Crackling with the dry electricity of the desert and flashing with the brilliant colors of Mexico, González's poems are rooted in the fertile soil beneath poverty's dust, the border's violence, and longing's desolation.",['Rigoberto González'],1999,['Poetry']
Sophia & Benjamin Watch a Train Go By,"'Uit Sophia's boek straalt zoveel levenskracht dat ik het iedere nacht onder m'n kussen ga leggen in de hoop dat het zo ook op mij afstraalt.' - Anne Barnhoorn, scenarioschrijver en winnares Gouden Kalf voor Aanmodderfakker 'Een bijzonder verhaal van een bijzonder Achterhoeks meisje.' - Veronie Snijder-Kramer, Boekhandel Kramer in Winterswijk en ex-boekenpanel DWDD Dit is het verhaal van een jonge vrouw die ontsnapte aan beklemmende adviezen en een bezorgde omgeving, en het vliegtuig pakte naar de andere kant de wereld. Bij Sophia is twee keer kanker ontdekt. De eerste keer was ze een puberend meisje in Winterswijk, de tweede keer was ze een jonge, succesvolle vrouw in Amsterdam met de wereld aan haar voeten. De tweede keer is haar omgeving weer in paniek, maar Sophia niet. Ze weet niet zeker of ze zal genezen maar ze weet wel dat het verloop van haar leven voortaan volgens haar regels zal gaan. Als een moderne Alice in Wonderland beweegt Sophia zich in een landschap vol bijzondere ontmoetingen om uiteindelijk thuis te komen bij zichzelf. Sophia van Sorgen is een gesprekstherapeut, voedingsdeskundige en meditatie- en ademhalingscoach. Ze begeleidt mensen met verschillende gezondheidsprogramma's die ze heeft ontwikkeld op basis van haar eigen methode. Sophia woont en werkt in Amsterdam.",['Sophia van Sorgen'],2017-10-30,['Biography & Autobiography']
El sueo de la historia,"Atrapa tu Sue?o es una historia real de inspiracion personal que explora los inconvenientes y las soluciones que se presentan al empezar un sue?o. A traves de este increible viaje el lector vivira el riesgo, la sensacion de libertad, la pasion, el dolor de una muerte, el nacimiento de un hijo, la frustracion, la vida y el exito. Y, seguramente, al llegar a destino no querra bajarse, pero lo tendra que hacer como lo hicieron Herman y Candelaria al llegar a Alaska. Y descendera emocionado hasta las lagrimas y saltara junto con ellos festejando el saber que los sue?os son posibles si algun dia se empiezan.","['Candelaria Zapp', 'Herman Zapp']",2005-01-01,['Biography & Autobiography']
How to be a Ghost Hunter (How To Series),"Dive into the ghostly world of the supernatural with America’s leading paranormal investigator Inside, paranormal investigator, star, and executive producer of The Travel Channel's hit series, Ghost Adventures and founder of the award-winning Haunted Museum (Las Vegas’ most popular attraction), Zak Bagans takes readers on an exciting journey into the supernatural world. With insider information on the history of ghost-hunting to learning about ghosts with all kinds of temperaments, Ghost-Hunting For Dummies is peppered with true accounts and stories from Bagans' famous cases and investigations. Featuring expert advice on picking a haunted location, setting up cameras, and dealing with unwieldy ghosts, this book shows how today's investigators use the tools of modern science to study a wide range of paranormal activity. Take an exciting adventure into the supernatural world Explore haunted sites Get messages from beyond the grave Read true accounts from famous cases and investigations If you're one of the countless fans of Ghost Adventures itching to get off the couch and track some spirits on your own, this book provides everything you need to know to conduct a successful paranormal investigation.",['Zak Bagans'],2020-05-21,"['Body, Mind & Spirit']"
Essential Managers: Dealing With People,"Are you looking to take the next step in your career? Can you manage yourself with ease, but need more confidence when managing others? Achieving excellence as a manager requires a broad skillset, and The Essential Manager's Handbook provides easy-to-follow and engaging advice on the 6 key areas. Nurture your confidence with managing people, leadership, achieving high performance, effective communication, presenting, and negotiating. With key quotes, bright visuals, and breakdowns by subject, this book is accessible and easy-to-use. Interactive tips and checklists will encourage you to note down your thoughts, examining past and present workplace experiences that you can learn from. Expert insights from management professionals and step-by-step instructions will help you understand how to deal with challenges and gain valuable management skills for life. This accessible and clear guide is packed with practical, no-nonsense information covering everything you need to know about acquiring and developing management skills. Pick up The Essential Manager's Handbook for quick reference when you're in need of guidance or work through each section at your own pace to become the best manager you can be.",['DK'],2016-11-01,['Business & Economics']
Business Statistics (Barron's Business Review Series),"The authors show how to apply statistical methods to many business situations. Topics covered include probability and hypothesis testing, polls and sampling, decision theory, and more. Business Review books are designed for classroom use, but are also valuable as self-teaching volumes for businesspersons engaged in various fields. When used in college business courses, these titles make fine supplements to main textbooks. Instructors in adult education and brush-up programs often choose these books as their main classroom text.","['Douglas Downing', 'Jeffrey Clark']",2003-10-01,['Business & Economics']
Everyday Creative,"Upend your personal status quo and reclaim your natural creativity in every single action you take Everyone claims to value creativity, and businesses are clamouring for disruptive thinking and innovation. Yet we often feel creatively stifled at work, because business processes seem to leave no room for real originality. In this climate, it takes a heroic effort to reclaim our status as independent thinkers, to bring meaning and joy to our work lives and to make lasting changes that will bring value to everyone around us. In Everyday Creative, culture and creative leadership expert Mykel Dixon reveals what’s holding us back from our full creative potential and explains how we can reclaim our original, vibrant selves. Is your ability to think differently hindered by an unconscious view that creativity doesn’t belong in the boardroom? It’s an all-too-common mistake, but the truth is, creativity is fundamental for business growth and personal fulfilment. If you want to survive in the digital era, you need to pursue your own creative sensibilities and foster creativity in your team. This book shows that original thinking can shake things up, becoming the source of our competitive advantage and a key driver of sustainable success. Recognise your own unconventional talent and creative potential Transform yourself into a more vibrant and resilient human being ready to lead the world in the fourth industrial revolution Cultivate dynamic team environments where people feel safe to explore dangerous ideas Instigate a high-level cultural and strategic pivot toward more creativity in your company Everyday Creative is about creative leadership and the courage to seek, nurture and liberate original thinking. Read this book to learn how to make the essential skill of creativity accessible to all people, regardless of role, title or department.",['Mykel Dixon'],2020-06-29,['Business & Economics']
"Gardening on Pavement, Tables, and Platforms","The author of ""The Complete Shade Gardener"" now pens the first book to describe how to grow garden plants directly on hard surfaces, such as pavement, rocks, tables, and other impermeable platforms. 109 color photos.",['George Schenk'],2006,['Gardening']
Should Parents Be Licensed?: Debating the Issues (Contemporary Issues),"Presenting a debate on the need for a national parenting policy, this volume asks whether the time is approaching for parents to be formally educated & even licensed before they can take on the responsibilities of child care?",['Peg Tittle'],2004,['Political Science']
"Sleep While I Sing (Karl Alberg Mysteries, No. 2)","CBIP is the complete reference and buying guide to English-language Canadian books currently in print; consequently, the Author and Title Index, Subject Index and microfiche editions are indispensable to the book profession. With submissions from both small and large publishers, CBIP provides access to titles not listed anywhere else. Containing more than 48,000 titles, of which approximately 4,000 have a 2001 imprint, the Author and Title Index is extensively cross-referenced. The Subject Index lists the titles under 800 different subject categories. Both books offer the most complete directory of Canadian publishers available, listing the names and ISBN prefixes, as well as the street, e-mail and web addresses of more than 4,850 houses. The quarterly microfiche service provides updated information in April, July and October. CBIP is constantly referred to by order librarians, booksellers, researchers, and all those involved in book acquisition. In addition, CBIP is an invaluable record of the vast wealth of publishing and writing activity in the scientific, literary, academic and arts communities across Canada. A quarterly subscription service including the annual Author and Title Index (March 2001) plus quarterly microfiche updates (April, July, and October 2001) is also available. ISBN 0802049567 $220.00 NET.",['Marian Butler'],2002-02,['Language Arts & Disciplines']
Cymbeline (Oxford Shakespeare),"This is the first full-scale edition of Cymbeline for 37 years. During that time, there has been considerable interest in Shakespeare's late work in the theatre, and several notable productions have demonstrated the powerful impact of Cymbeline. Based firmly on Roger Warren's extensive experience of the play in rehearsal and performance, this edition shows how Shakespeare draws upon a wide range of sources to create a self-sufficient dramatic universe, combining virtuoso theatrical and poetic means to present a story of a marriage imperilled by mistrust and painfully rebuilt through the physical and spiritual journeys undertaken by the heroine and hero, set in a context of international conflict. A full and detailed commentary pays close attention to the play's complex, evocative language. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",['William Shakespeare'],2008-06-12,['Drama']
Cucina Piemontese: Cooking from Italy's Piedmont,"Cucina Piemontese includes recipes for more than 95 Piemontese dishes, many of them from the author's family in Piedmont. These classic recipes, accompanied by historical and cultural information, as well as a chapter on regional wines, provide an opportunity to explore this fascinating and increasingly renowned cuisine from an insider's perspective. The simple recipes made with readily available ingredients bring the cucina piemontese home.","['Maria Grazia Asselle', 'Brian Yarvin']",2005,['Cooking']
How To Implement the CMM,"The Second Edition is an update of the original popular book, and is now in paperback form. This book is for the organization just beginning to implement, as well as the organization that has been struggling for some time to be fully compliant with Level 2 and/or Level 3 of the Carnegie Mellon University Software Engineering Institute CMU/SEI Capability Maturity Model (CMM). Ms. Burwick provides instruction for the entire lifecycle of effective implementation from ""How to Start"" to ""A Successful Evaluation."" If your organization has had difficulty fully implementing Level 2 and/or Level 3 of the SEI Capability Maturity Model and would like some helpful information to fill in a few holes, or to overcome those seemingly impossible obstacles, this book will provide you with the solution(s). Rather than a lot of theory, this book provides instruction for practical application. Ms. Burwick explains how to overcome resistance to implementation and much, much more. She provides you with a basic Process Improvement Plan as a starting point, and a standard set of policy, flows, and descriptions that can easily be modified for your organization and serve as the requisite corporate procedure manual for each key process area. She also provides a transition package for use at the project level, with detailed instructions every step of the way.",['Diane M. Burwick'],2001-11-01,['Computers']
Cuba: Restructuring the Economy - A Contribution to the Debate (Institute of Latin American Studies),"The study includes an analysis of the internal, as well as the external, structural constraints on the Cuban economy in the 1990s, a detailed analysis of the options for monetary and fiscal reform and proposals for the development of what might be termed a mixed economy, organized according to socialist principles. There is also a chapter discussing some of the responses, both from within Cuba and from abroad, to the original publication. The introduction by Ruth Pearson discusses the significance of this book for the economic and political debates currently facing Cuba.","['Julio Carranza Valdés', 'Julio Carranza', 'Luis Gutiérrez Urdaneta', 'Pedro M. Monreal González']",1996,['Business & Economics']
Hawks on Hawks,"""I read Hawks on Hawks with passion. I am very happy that this book exists."" -- François Truffaut Howard Hawks (1896--1977) is often credited as being the most versatile of all of the great American directors, having worked with equal ease in screwball comedies, westerns, gangster movies, musicals, and adventure films. He directed an impressive number of Hollywood's greatest stars -- including Humphrey Bogart, Cary Grant, John Wayne, Lauren Bacall, Rosalind Russell, and Marilyn Monroe -- and some of his most celebrated films include Scarface (1932), Bringing Up Baby (1938), The Big Sleep (1946), Red River (1948), Gentlemen Prefer Blondes (1953), and Rio Bravo (1959). Hawks on Hawks draws on interviews that author Joseph McBride conducted with the director over the course of seven years, giving rare insight into Hawks's artistic philosophy, his relationships with the stars, and his position in an industry that was rapidly changing. In its new edition, this classic book is both an account of the film legend's life and work and a guidebook on how to make movies.",['Joseph McBride'],2013-12-03,['Biography & Autobiography']
